KEGG_pathway,Biochemical_class,Enzyme_class,PDB_structure,Mode_of_action,Outcome
HTLV-I infection,mRNA target,Transferases,"5UGW, 5MER, 5MEQ, 5MEP, 5MEO",.,1.0
HTLV-I infection,mRNA target,Transferases,"5UGW, 5MER, 5MEQ, 5MEP, 5MEO",Inhibitor,1.0
"African trypanosomiasis, Malaria",Pore-forming globin,,"6NBD, 6NBC, 6HBW, 6HAL, 6DI4",Inhibitor,1.0
"African trypanosomiasis, Malaria",Pore-forming globin,,"6NBD, 6NBC, 6HBW, 6HAL, 6DI4",Modulator,1.0
"African trypanosomiasis, Malaria",Pore-forming globin,,"6NBD, 6NBC, 6HBW, 6HAL, 6DI4",Enhancer,1.0
"African trypanosomiasis, Malaria",Pore-forming globin,,"6NBD, 6NBC, 6HBW, 6HAL, 6DI4",Antagonist,1.0
"African trypanosomiasis, Malaria",Pore-forming globin,,"6NBD, 6NBC, 6HBW, 6HAL, 6DI4",.,1.0
"African trypanosomiasis, Malaria",Pore-forming globin,,"6NBD, 6NBC, 6HBW, 6HAL, 6DI4",Inducer,1.0
"African trypanosomiasis, Malaria",Pore-forming globin,,"6NBD, 6NBC, 6HBW, 6HAL, 6DI4",Activator,1.0
"Adrenergic signaling in cardiomyocytes, Cholinergic synapse, Gastric acid secretion, Pancreatic secretion, Protein digestion and absorption, Vibrio cholerae infection",Voltage-gated ion channel,,"4V0C, 4UMO, 3HFE, 3HFC, 3BJ4",Blocker (channel blocker),1.0
"Adrenergic signaling in cardiomyocytes, Cholinergic synapse, Gastric acid secretion, Pancreatic secretion, Protein digestion and absorption, Vibrio cholerae infection",Voltage-gated ion channel,,"4V0C, 4UMO, 3HFE, 3HFC, 3BJ4",Activator,1.0
"Adrenergic signaling in cardiomyocytes, Cholinergic synapse, Gastric acid secretion, Pancreatic secretion, Protein digestion and absorption, Vibrio cholerae infection",Voltage-gated ion channel,,"4V0C, 4UMO, 3HFE, 3HFC, 3BJ4",Blocker,1.0
"Adrenergic signaling in cardiomyocytes, Cholinergic synapse, Gastric acid secretion, Pancreatic secretion, Protein digestion and absorption, Vibrio cholerae infection",Voltage-gated ion channel,,"4V0C, 4UMO, 3HFE, 3HFC, 3BJ4",Inhibitor,1.0
Neuroactive ligand-receptor interaction,Neurotransmitter receptor,,"4X5T, 2M6I, 2M6B, 1VRY, 1MOT",Inhibitor,1.0
"Cell adhesion molecules (CAMs), Toll-like receptor signaling pathway, Intestinal immune network for IgA production, Type I diabetes mellitus, Transcriptional misregulation in cancer, Autoimmune thyroid disease, Systemic lupus erythematosus, Rheumatoid arthritis, Allograft rejection, Graft-versus-host disease, Viral myocarditis",Immunoglobulin,,"5YXK, 1NCN, 1I85",.,1.0
"Cell adhesion molecules (CAMs), Toll-like receptor signaling pathway, Intestinal immune network for IgA production, Type I diabetes mellitus, Transcriptional misregulation in cancer, Autoimmune thyroid disease, Systemic lupus erythematosus, Rheumatoid arthritis, Allograft rejection, Graft-versus-host disease, Viral myocarditis",Immunoglobulin,,"5YXK, 1NCN, 1I85",Inhibitor,1.0
"Cell adhesion molecules (CAMs), Toll-like receptor signaling pathway, Intestinal immune network for IgA production, Type I diabetes mellitus, Transcriptional misregulation in cancer, Autoimmune thyroid disease, Systemic lupus erythematosus, Rheumatoid arthritis, Allograft rejection, Graft-versus-host disease, Viral myocarditis",Immunoglobulin,,"5YXK, 1NCN, 1I85",Binder,1.0
"Ras signaling pathway, Rap1 signaling pathway, Cytokine-cytokine receptor interaction, PI3K-Akt signaling pathway, Neurotrophin signaling pathway, Transcriptional misregulation in cancer",Cytokine receptor,,"5ZGG, 3EWV, 2N97, 2N83, 2N80",Modulator,1.0
"Ras signaling pathway, Rap1 signaling pathway, Cytokine-cytokine receptor interaction, PI3K-Akt signaling pathway, Neurotrophin signaling pathway, Transcriptional misregulation in cancer",Cytokine receptor,,"5ZGG, 3EWV, 2N97, 2N83, 2N80",Agonist,1.0
"Ras signaling pathway, Rap1 signaling pathway, Cytokine-cytokine receptor interaction, PI3K-Akt signaling pathway, Neurotrophin signaling pathway, Transcriptional misregulation in cancer",Cytokine receptor,,"5ZGG, 3EWV, 2N97, 2N83, 2N80",.,1.0
"Ras signaling pathway, Rap1 signaling pathway, Cytokine-cytokine receptor interaction, PI3K-Akt signaling pathway, Neurotrophin signaling pathway, Transcriptional misregulation in cancer",Cytokine receptor,,"5ZGG, 3EWV, 2N97, 2N83, 2N80",Inhibitor,1.0
"Ras signaling pathway, Rap1 signaling pathway, Cytokine-cytokine receptor interaction, PI3K-Akt signaling pathway, Neurotrophin signaling pathway, Transcriptional misregulation in cancer",Cytokine receptor,,"5ZGG, 3EWV, 2N97, 2N83, 2N80",Antagonist,1.0
"MAPK signaling pathway, Calcium signaling pathway, cGMP-PKG signaling pathway, cAMP signaling pathway, Cardiac muscle contraction, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction, Circadian entrainment, Long-term potentiation, Retrograde endocannabinoid signaling, Glutamatergic synapse, Cholinergic synapse, Serotonergic synapse, GABAergic synapse, Dopaminergic synapse, Insulin secretion, GnRH signaling pathway, Oxytocin signaling pathway, Type II diabetes mellitus, Alzheimer's disease, Amphetamine addiction, Hypertrophic cardiomyopathy (HCM), Arrhythmogenic right ventricular cardiomyopathy (ARVC), Dilated cardiomyopathy",Voltage-gated ion channel,,"6DAF, 6DAE, 6DAD, 6C0A, 5V2Q",Modulator,1.0
"MAPK signaling pathway, Calcium signaling pathway, cGMP-PKG signaling pathway, cAMP signaling pathway, Cardiac muscle contraction, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction, Circadian entrainment, Long-term potentiation, Retrograde endocannabinoid signaling, Glutamatergic synapse, Cholinergic synapse, Serotonergic synapse, GABAergic synapse, Dopaminergic synapse, Insulin secretion, GnRH signaling pathway, Oxytocin signaling pathway, Type II diabetes mellitus, Alzheimer's disease, Amphetamine addiction, Hypertrophic cardiomyopathy (HCM), Arrhythmogenic right ventricular cardiomyopathy (ARVC), Dilated cardiomyopathy",Voltage-gated ion channel,,"6DAF, 6DAE, 6DAD, 6C0A, 5V2Q",Activator,1.0
"MAPK signaling pathway, Calcium signaling pathway, cGMP-PKG signaling pathway, cAMP signaling pathway, Cardiac muscle contraction, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction, Circadian entrainment, Long-term potentiation, Retrograde endocannabinoid signaling, Glutamatergic synapse, Cholinergic synapse, Serotonergic synapse, GABAergic synapse, Dopaminergic synapse, Insulin secretion, GnRH signaling pathway, Oxytocin signaling pathway, Type II diabetes mellitus, Alzheimer's disease, Amphetamine addiction, Hypertrophic cardiomyopathy (HCM), Arrhythmogenic right ventricular cardiomyopathy (ARVC), Dilated cardiomyopathy",Voltage-gated ion channel,,"6DAF, 6DAE, 6DAD, 6C0A, 5V2Q",Blocker (channel blocker),1.0
"MAPK signaling pathway, Calcium signaling pathway, cGMP-PKG signaling pathway, cAMP signaling pathway, Cardiac muscle contraction, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction, Circadian entrainment, Long-term potentiation, Retrograde endocannabinoid signaling, Glutamatergic synapse, Cholinergic synapse, Serotonergic synapse, GABAergic synapse, Dopaminergic synapse, Insulin secretion, GnRH signaling pathway, Oxytocin signaling pathway, Type II diabetes mellitus, Alzheimer's disease, Amphetamine addiction, Hypertrophic cardiomyopathy (HCM), Arrhythmogenic right ventricular cardiomyopathy (ARVC), Dilated cardiomyopathy",Voltage-gated ion channel,,"6DAF, 6DAE, 6DAD, 6C0A, 5V2Q",Inhibitor (gating inhibitor),1.0
"MAPK signaling pathway, Calcium signaling pathway, cGMP-PKG signaling pathway, cAMP signaling pathway, Cardiac muscle contraction, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction, Circadian entrainment, Long-term potentiation, Retrograde endocannabinoid signaling, Glutamatergic synapse, Cholinergic synapse, Serotonergic synapse, GABAergic synapse, Dopaminergic synapse, Insulin secretion, GnRH signaling pathway, Oxytocin signaling pathway, Type II diabetes mellitus, Alzheimer's disease, Amphetamine addiction, Hypertrophic cardiomyopathy (HCM), Arrhythmogenic right ventricular cardiomyopathy (ARVC), Dilated cardiomyopathy",Voltage-gated ion channel,,"6DAF, 6DAE, 6DAD, 6C0A, 5V2Q",Inhibitor,1.0
"Calcium signaling pathway, cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction, Endocytosis, Salivary secretion",GPCR rhodopsin,,2CDW,Agonist,1.0
"Calcium signaling pathway, cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction, Endocytosis, Salivary secretion",GPCR rhodopsin,,2CDW,Modulator,1.0
"Calcium signaling pathway, cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction, Endocytosis, Salivary secretion",GPCR rhodopsin,,2CDW,Blocker,1.0
"Calcium signaling pathway, cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction, Endocytosis, Salivary secretion",GPCR rhodopsin,,2CDW,Antagonist,1.0
"Calcium signaling pathway, cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction, Endocytosis, Salivary secretion",GPCR rhodopsin,,2CDW,Inhibitor,1.0
Bile secretion,Nuclear hormone receptor,,"6A60, 6A5Z, 6A5Y, 6A5X, 6A5W",Agonist,1.0
Bile secretion,Nuclear hormone receptor,,"6A60, 6A5Z, 6A5Y, 6A5X, 6A5W",Inhibitor,1.0
Bile secretion,Nuclear hormone receptor,,"6A60, 6A5Z, 6A5Y, 6A5X, 6A5W",Modulator,1.0
Bile secretion,Nuclear hormone receptor,,"6A60, 6A5Z, 6A5Y, 6A5X, 6A5W",Antagonist,1.0
"Neuroactive ligand-receptor interaction, Retrograde endocannabinoid signaling, GABAergic synapse, Morphine addiction, Nicotine addiction",Ligand-gated ion channel,,"6I53, 6D6U, 6D6T, 6D1S, 6CDU",Inhibitor,1.0
"Neuroactive ligand-receptor interaction, Retrograde endocannabinoid signaling, GABAergic synapse, Morphine addiction, Nicotine addiction",Ligand-gated ion channel,,"6I53, 6D6U, 6D6T, 6D1S, 6CDU",Modulator,1.0
"Neuroactive ligand-receptor interaction, Retrograde endocannabinoid signaling, GABAergic synapse, Morphine addiction, Nicotine addiction",Ligand-gated ion channel,,"6I53, 6D6U, 6D6T, 6D1S, 6CDU",Antagonist,1.0
"Neuroactive ligand-receptor interaction, Retrograde endocannabinoid signaling, GABAergic synapse, Morphine addiction, Nicotine addiction",Ligand-gated ion channel,,"6I53, 6D6U, 6D6T, 6D1S, 6CDU",Agonist,1.0
"Citrate cycle (TCA cycle), Metabolic pathways, Biosynthesis of antibiotics",Acyltransferase,Transferases,"6QFB, 6O0H, 6HXM, 6HXL, 6HXK",Inhibitor,1.0
"PPAR signaling pathway, Pathways in cancer, Bladder cancer, Rheumatoid arthritis",Peptidase,Hydrolases,"966C, 4AYK, 4AUO, 3SHI, 3AYK",Inhibitor,1.0
"PPAR signaling pathway, Pathways in cancer, Bladder cancer, Rheumatoid arthritis",Peptidase,Hydrolases,"966C, 4AYK, 4AUO, 3SHI, 3AYK",Modulator,1.0
"Glycosaminoglycan degradation, Metabolic pathways, Lysosome",Glycosylase,Hydrolases,4XWH,.,1.0
"Glycosaminoglycan degradation, Metabolic pathways, Lysosome",Glycosylase,Hydrolases,4XWH,Activator,1.0
"Nitrogen metabolism, Proximal tubule bicarbonate reclamation",Alpha-carbonic anhydrase,Lyases,"5KU6, 5JNC, 5JNA, 5JN9, 5JN8",Inhibitor,1.0
"Nitrogen metabolism, Proximal tubule bicarbonate reclamation",Alpha-carbonic anhydrase,Lyases,"5KU6, 5JNC, 5JNA, 5JN9, 5JN8",.,1.0
"Nitrogen metabolism, Proximal tubule bicarbonate reclamation",Alpha-carbonic anhydrase,Lyases,"5KU6, 5JNC, 5JNA, 5JN9, 5JN8",Modulator,1.0
"MAPK signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, Cytokine-cytokine receptor interaction, Endocytosis, PI3K-Akt signaling pathway, Focal adhesion, Gap junction, Regulation of actin cytoskeleton, HTLV-I infection, Pathways in cancer, MicroRNAs in cancer, Glioma, Prostate cancer, Melanoma, Central carbon metabolism in cancer, Choline metabolism in cancer",Kinase,Transferases,"5K5X, 5GRN, 1GQ5",Inhibitor,1.0
"MAPK signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, Cytokine-cytokine receptor interaction, Endocytosis, PI3K-Akt signaling pathway, Focal adhesion, Gap junction, Regulation of actin cytoskeleton, HTLV-I infection, Pathways in cancer, MicroRNAs in cancer, Glioma, Prostate cancer, Melanoma, Central carbon metabolism in cancer, Choline metabolism in cancer",Kinase,Transferases,"5K5X, 5GRN, 1GQ5",.,1.0
"MAPK signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, Cytokine-cytokine receptor interaction, Endocytosis, PI3K-Akt signaling pathway, Focal adhesion, Gap junction, Regulation of actin cytoskeleton, HTLV-I infection, Pathways in cancer, MicroRNAs in cancer, Glioma, Prostate cancer, Melanoma, Central carbon metabolism in cancer, Choline metabolism in cancer",Kinase,Transferases,"5K5X, 5GRN, 1GQ5",Modulator,1.0
"Terpenoid backbone biosynthesis, Metabolic pathways, Biosynthesis of antibiotics, AMPK signaling pathway, Bile secretion",CH-OH donor oxidoreductase,Oxidoreductases,"3CDB, 3CDA, 3CD7, 3CD5, 3CD0",Inhibitor,1.0
"Terpenoid backbone biosynthesis, Metabolic pathways, Biosynthesis of antibiotics, AMPK signaling pathway, Bile secretion",CH-OH donor oxidoreductase,Oxidoreductases,"3CDB, 3CDA, 3CD7, 3CD5, 3CD0",Modulator,1.0
"Terpenoid backbone biosynthesis, Metabolic pathways, Biosynthesis of antibiotics, AMPK signaling pathway, Bile secretion",CH-OH donor oxidoreductase,Oxidoreductases,"3CDB, 3CDA, 3CD7, 3CD5, 3CD0",Antagonist,1.0
"ABC transporters, cAMP signaling pathway, AMPK signaling pathway, Gastric acid secretion, Pancreatic secretion, Bile secretion, Vibrio cholerae infection",ABC transporter,Isomerases,"6MSM, 6HEP, 5UAK, 5TGK, 5TFJ",Activator,1.0
"ABC transporters, cAMP signaling pathway, AMPK signaling pathway, Gastric acid secretion, Pancreatic secretion, Bile secretion, Vibrio cholerae infection",ABC transporter,Isomerases,"6MSM, 6HEP, 5UAK, 5TGK, 5TFJ",Blocker (channel blocker),1.0
"ABC transporters, cAMP signaling pathway, AMPK signaling pathway, Gastric acid secretion, Pancreatic secretion, Bile secretion, Vibrio cholerae infection",ABC transporter,Isomerases,"6MSM, 6HEP, 5UAK, 5TGK, 5TFJ",Modulator,1.0
"ABC transporters, cAMP signaling pathway, AMPK signaling pathway, Gastric acid secretion, Pancreatic secretion, Bile secretion, Vibrio cholerae infection",ABC transporter,Isomerases,"6MSM, 6HEP, 5UAK, 5TGK, 5TFJ",Regulator,1.0
"ABC transporters, cAMP signaling pathway, AMPK signaling pathway, Gastric acid secretion, Pancreatic secretion, Bile secretion, Vibrio cholerae infection",ABC transporter,Isomerases,"6MSM, 6HEP, 5UAK, 5TGK, 5TFJ",Inhibitor,1.0
"ABC transporters, cAMP signaling pathway, AMPK signaling pathway, Gastric acid secretion, Pancreatic secretion, Bile secretion, Vibrio cholerae infection",ABC transporter,Isomerases,"6MSM, 6HEP, 5UAK, 5TGK, 5TFJ",Enhancer,1.0
"ABC transporters, cAMP signaling pathway, AMPK signaling pathway, Gastric acid secretion, Pancreatic secretion, Bile secretion, Vibrio cholerae infection",ABC transporter,Isomerases,"6MSM, 6HEP, 5UAK, 5TGK, 5TFJ",Binder,1.0
,ABC transporter,Isomerases,"6MSM, 6HEP, 5UAK, 5TGK, 5TFJ",Enhancer,1.0
Neuroactive ligand-receptor interaction,Neurotransmitter receptor,,5FJV,Modulator (allosteric modulator),1.0
Neuroactive ligand-receptor interaction,Neurotransmitter receptor,,5FJV,Agonist,1.0
Neuroactive ligand-receptor interaction,Neurotransmitter receptor,,5FJV,Inhibitor,1.0
Neuroactive ligand-receptor interaction,Neurotransmitter receptor,,5FJV,Antagonist,1.0
"Cysteine and methionine metabolism, Arginine and proline metabolism, Metabolic pathways",Carbon-carbon lyase,Lyases,"3H0W, 3H0V, 3EPB, 3EPA, 3EP9",Inhibitor,1.0
"Cysteine and methionine metabolism, Arginine and proline metabolism, Metabolic pathways",Carbon-carbon lyase,Lyases,"3H0W, 3H0V, 3EPB, 3EPA, 3EP9",Modulator,1.0
"PI3K-Akt signaling pathway, Hematopoietic cell lineage, B cell receptor signaling pathway, Epstein-Barr virus infection, Primary immunodeficiency",Immunoglobulin,,6AL5,CAR-T-Cell-Therapy(Dual specific),1.0
"PI3K-Akt signaling pathway, Hematopoietic cell lineage, B cell receptor signaling pathway, Epstein-Barr virus infection, Primary immunodeficiency",Immunoglobulin,,6AL5,CAR-T-Cell-Therapy,1.0
"PI3K-Akt signaling pathway, Hematopoietic cell lineage, B cell receptor signaling pathway, Epstein-Barr virus infection, Primary immunodeficiency",Immunoglobulin,,6AL5,.,1.0
"PI3K-Akt signaling pathway, Hematopoietic cell lineage, B cell receptor signaling pathway, Epstein-Barr virus infection, Primary immunodeficiency",Immunoglobulin,,6AL5,Inhibitor,1.0
"PI3K-Akt signaling pathway, Hematopoietic cell lineage, B cell receptor signaling pathway, Epstein-Barr virus infection, Primary immunodeficiency",Immunoglobulin,,6AL5,Modulator,1.0
"PI3K-Akt signaling pathway, Hematopoietic cell lineage, B cell receptor signaling pathway, Epstein-Barr virus infection, Primary immunodeficiency",Immunoglobulin,,6AL5,Immunostimulant,1.0
Non-small cell lung cancer,Kinase,Transferases,"6MX8, 6EDL, 6EBW, 6E0R, 6CDT",Inhibitor,1.0
Non-small cell lung cancer,Kinase,Transferases,"6MX8, 6EDL, 6EBW, 6E0R, 6CDT",.,1.0
Non-small cell lung cancer,Kinase,Transferases,"6MX8, 6EDL, 6EBW, 6E0R, 6CDT",Modulator,1.0
"Cytokine-cytokine receptor interaction, Chemokine signaling pathway, Endocytosis, Epithelial cell signaling in Helicobacter pylori infection",GPCR rhodopsin,,"5TYT, 4Q3H",Antagonist,1.0
"Cytokine-cytokine receptor interaction, Chemokine signaling pathway, Endocytosis, Epithelial cell signaling in Helicobacter pylori infection",GPCR rhodopsin,,"5TYT, 4Q3H",Agonist,1.0
"Cytokine-cytokine receptor interaction, Chemokine signaling pathway, Endocytosis, Epithelial cell signaling in Helicobacter pylori infection",GPCR rhodopsin,,"5TYT, 4Q3H",Inhibitor,1.0
"Cytokine-cytokine receptor interaction, Chemokine signaling pathway, Endocytosis, Epithelial cell signaling in Helicobacter pylori infection",GPCR rhodopsin,,"5TYT, 4Q3H",Modulator,1.0
"Metabolism of xenobiotics by cytochrome P450, Drug metabolism - cytochrome P450, Serotonergic synapse",Paired donor oxygen oxidoreductase,Oxidoreductases,"6CSD, 6CSB, 5TFU, 5TFT, 4XRZ",Inhibitor,1.0
"Metabolism of xenobiotics by cytochrome P450, Drug metabolism - cytochrome P450, Serotonergic synapse",Paired donor oxygen oxidoreductase,Oxidoreductases,"6CSD, 6CSB, 5TFU, 5TFT, 4XRZ",Inducer,1.0
"Ras signaling pathway, Rap1 signaling pathway, Cytokine-cytokine receptor interaction, Endocytosis, PI3K-Akt signaling pathway, Hematopoietic cell lineage, Melanogenesis, Pathways in cancer, Acute myeloid leukemia, Central carbon metabolism in cancer",Kinase,Transferases,"6GQM, 6GQL, 6GQK, 6GQJ, 4U0I",Inhibitor,1.0
"Ras signaling pathway, Rap1 signaling pathway, Cytokine-cytokine receptor interaction, Endocytosis, PI3K-Akt signaling pathway, Hematopoietic cell lineage, Melanogenesis, Pathways in cancer, Acute myeloid leukemia, Central carbon metabolism in cancer",Kinase,Transferases,"6GQM, 6GQL, 6GQK, 6GQJ, 4U0I",CAR-T-Cell-Therapy,1.0
"Ras signaling pathway, Rap1 signaling pathway, Cytokine-cytokine receptor interaction, Endocytosis, PI3K-Akt signaling pathway, Hematopoietic cell lineage, Melanogenesis, Pathways in cancer, Acute myeloid leukemia, Central carbon metabolism in cancer",Kinase,Transferases,"6GQM, 6GQL, 6GQK, 6GQJ, 4U0I",Modulator,1.0
"MAPK signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Endocytosis, PI3K-Akt signaling pathway, Signaling pathways regulating pluripotency of stem cells, Regulation of actin cytoskeleton, Pathways in cancer, Prostate cancer, Central carbon metabolism in cancer",Kinase,Transferases,"5UI0, 5UHN, 5UGX, 5UGL, 5EG3",Binder,1.0
"MAPK signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Endocytosis, PI3K-Akt signaling pathway, Signaling pathways regulating pluripotency of stem cells, Regulation of actin cytoskeleton, Pathways in cancer, Prostate cancer, Central carbon metabolism in cancer",Kinase,Transferases,"5UI0, 5UHN, 5UGX, 5UGL, 5EG3",.,1.0
"MAPK signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Endocytosis, PI3K-Akt signaling pathway, Signaling pathways regulating pluripotency of stem cells, Regulation of actin cytoskeleton, Pathways in cancer, Prostate cancer, Central carbon metabolism in cancer",Kinase,Transferases,"5UI0, 5UHN, 5UGX, 5UGL, 5EG3",Inhibitor,1.0
"MAPK signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Endocytosis, PI3K-Akt signaling pathway, Signaling pathways regulating pluripotency of stem cells, Regulation of actin cytoskeleton, Pathways in cancer, Prostate cancer, Central carbon metabolism in cancer",Kinase,Transferases,"5UI0, 5UHN, 5UGX, 5UGL, 5EG3",Antagonist,1.0
"MAPK signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Endocytosis, PI3K-Akt signaling pathway, Signaling pathways regulating pluripotency of stem cells, Regulation of actin cytoskeleton, Pathways in cancer, Prostate cancer, Central carbon metabolism in cancer",Kinase,Transferases,"5UI0, 5UHN, 5UGX, 5UGL, 5EG3",Modulator,1.0
"MAPK signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Endocytosis, PI3K-Akt signaling pathway, Signaling pathways regulating pluripotency of stem cells, Regulation of actin cytoskeleton, Pathways in cancer, Prostate cancer, Central carbon metabolism in cancer",Kinase,Transferases,"5UI0, 5UHN, 5UGX, 5UGL, 5EG3",Activator,1.0
"Ras signaling pathway, Rap1 signaling pathway, cGMP-PKG signaling pathway, cAMP signaling pathway, Chemokine signaling pathway, Sphingolipid signaling pathway, Endocytosis, Vascular smooth muscle contraction, Wnt signaling pathway, TGF-beta signaling pathway, Axon guidance, Focal adhesion, Adherens junction, Tight junction, Platelet activation, T cell receptor signaling pathway, Leukocyte transendothelial migration, Neurotrophin signaling pathway, Regulation of actin cytoskeleton, Oxytocin signaling pathway, Pancreatic secretion, Bacterial invasion of epithelial cells, Pathogenic Escherichia coli infection, Pertussis, Tuberculosis, Pathways in cancer, Viral carcinogenesis, Proteoglycans in cancer, MicroRNAs in cancer, Colorectal cancer",Small GTPase,Hydrolases,"6R3V, 6BCB, 6BCA, 6BC0, 5ZHX",Inhibitor,0.0
"cGMP-PKG signaling pathway, Sphingolipid signaling pathway, Neuroactive ligand-receptor interaction",GPCR rhodopsin,,"4RWD, 4RWA, 4N6H, 2IQM, 1OZC",Agonist,1.0
"cGMP-PKG signaling pathway, Sphingolipid signaling pathway, Neuroactive ligand-receptor interaction",GPCR rhodopsin,,"4RWD, 4RWA, 4N6H, 2IQM, 1OZC",Antagonist,1.0
"cGMP-PKG signaling pathway, Sphingolipid signaling pathway, Neuroactive ligand-receptor interaction",GPCR rhodopsin,,"4RWD, 4RWA, 4N6H, 2IQM, 1OZC",Inhibitor,1.0
"cGMP-PKG signaling pathway, Sphingolipid signaling pathway, Neuroactive ligand-receptor interaction",GPCR rhodopsin,,"4RWD, 4RWA, 4N6H, 2IQM, 1OZC",Modulator,1.0
"cGMP-PKG signaling pathway, Sphingolipid signaling pathway, Neuroactive ligand-receptor interaction",GPCR rhodopsin,,"4RWD, 4RWA, 4N6H, 2IQM, 1OZC",.,1.0
"cGMP-PKG signaling pathway, Sphingolipid signaling pathway, Neuroactive ligand-receptor interaction",GPCR rhodopsin,,"4RWD, 4RWA, 4N6H, 2IQM, 1OZC",Binder,1.0
"MAPK signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, Cytokine-cytokine receptor interaction, PI3K-Akt signaling pathway, Focal adhesion, Gap junction, Regulation of actin cytoskeleton, HTLV-I infection, Pathways in cancer, MicroRNAs in cancer, Glioma, Prostate cancer, Melanoma, Central carbon metabolism in cancer, Choline metabolism in cancer",Kinase,Transferases,"3MJG, 2PLE, 2PLD, 2L6W, 2IUI",.,1.0
"MAPK signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, Cytokine-cytokine receptor interaction, PI3K-Akt signaling pathway, Focal adhesion, Gap junction, Regulation of actin cytoskeleton, HTLV-I infection, Pathways in cancer, MicroRNAs in cancer, Glioma, Prostate cancer, Melanoma, Central carbon metabolism in cancer, Choline metabolism in cancer",Kinase,Transferases,"3MJG, 2PLE, 2PLD, 2L6W, 2IUI",Inhibitor,1.0
"MAPK signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, Cytokine-cytokine receptor interaction, PI3K-Akt signaling pathway, Focal adhesion, Gap junction, Regulation of actin cytoskeleton, HTLV-I infection, Pathways in cancer, MicroRNAs in cancer, Glioma, Prostate cancer, Melanoma, Central carbon metabolism in cancer, Choline metabolism in cancer",Kinase,Transferases,"3MJG, 2PLE, 2PLD, 2L6W, 2IUI",Modulator,1.0
"MAPK signaling pathway, ErbB signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, Cytokine-cytokine receptor interaction, HIF-1 signaling pathway, FoxO signaling pathway, Endocytosis, PI3K-Akt signaling pathway, Dorso-ventral axis formation, Focal adhesion, Adherens junction, Gap junction, Regulation of actin cytoskeleton, GnRH signaling pathway, Estrogen signaling pathway, Oxytocin signaling pathway, Epithelial cell signaling in Helicobacter pylori infection, Hepatitis C, Pathways in cancer, Proteoglycans in cancer, MicroRNAs in cancer, Pancreatic cancer, Endometrial cancer, Glioma, Prostate cancer, Melanoma, Bladder cancer, Non-small cell lung cancer, Central carbon metabolism in cancer, Choline metabolism in cancer",Kinase,Transferases,"6D8E, 6B3S, 6ARU, 5ZWJ, 5YU9",Antagonist,1.0
"MAPK signaling pathway, ErbB signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, Cytokine-cytokine receptor interaction, HIF-1 signaling pathway, FoxO signaling pathway, Endocytosis, PI3K-Akt signaling pathway, Dorso-ventral axis formation, Focal adhesion, Adherens junction, Gap junction, Regulation of actin cytoskeleton, GnRH signaling pathway, Estrogen signaling pathway, Oxytocin signaling pathway, Epithelial cell signaling in Helicobacter pylori infection, Hepatitis C, Pathways in cancer, Proteoglycans in cancer, MicroRNAs in cancer, Pancreatic cancer, Endometrial cancer, Glioma, Prostate cancer, Melanoma, Bladder cancer, Non-small cell lung cancer, Central carbon metabolism in cancer, Choline metabolism in cancer",Kinase,Transferases,"6D8E, 6B3S, 6ARU, 5ZWJ, 5YU9",.,1.0
